source	korean	speaker	context	note
タガン	타간	タガン	name	merchant name
伝説の武器商人	전설의 무기 상인	タガン	title	Tagan title
タガン (商人	타간 (상인	タガン	ui	relationship/info label fragment
買取屋	매입상	買取屋	name	buyback shop npc
よろず屋 タガン	잡화점 타간	タガン	shop	shop title
商会への出資	상회 출자	タガン	donation	donation modal title
商人を支援する	상인 지원하기	タガン	shop	donation button
いくら寄付しますか？	얼마를 기부할까요?	タガン	donation	merchant donation prompt
ありがとうございます！大切に使わせていただきます。	고맙다! 허투루 쓰지 않으마.	タガン	donation	shared merchant config
おお…なんと…！	오오… 이거 참…!	タガン	donation	max donation sequence
これほどまでの寄付をいただけるとは、本当に助かります。	이만큼이나 보태 줄 줄이야, 정말 큰 도움이 됐다.	タガン	donation	max donation sequence
あなたは私の、いや、この街の恩人です！	너는 내, 아니 이 마을의 은인이다!	タガン	donation	max donation sequence
！？　おいおい、{donationAmount}G寄付してくれんのか？	!? 어이 어이, {donationAmount}G나 기부해 주는 거냐?	タガン	donation	preserve placeholder
金の重さは誰よりも知ってるつもりだ…、感謝するぞ	돈의 무게는 내가 누구보다 잘 안다… 고맙게 받으마.	タガン	donation	thanks line
所持金が足りません。	소지금이 부족합니다.	タガン	shop	functional message
有効な金額を入力してください	올바른 금액을 입력해 주세요	タガン	donation	functional message
一度に寄付できるのは5000Gまでです	한 번에 기부할 수 있는 금액은 5000G까지입니다	タガン	donation	functional message
寄付する	기부하기	タガン	donation	button
やめておく	그만둔다	タガン	donation	button
処理中	처리 중	タガン	donation	button state
所持金	소지금	タガン	shop	label
全額	전액	タガン	donation	button
買い物をする	물건을 산다	タガン	choice	shop choice
プレゼントを渡す	선물 건네기	タガン	choice	gift choice
個人的な頼みがあるんだ	개인적으로 부탁할 게 있어	タガン	choice	merchant event choice
やめる	그만둔다	タガン	choice	generic
お？\n見ない顔だな？	어?\n처음 보는 얼굴인데?	タガン	dialogue	first greeting
貴重な客候補には死なれちゃこまるからな、\n必要なものがあれば言ってくれ。	귀한 손님 후보가 죽어 버리면 곤란하거든.\n필요한 게 있으면 말해.	タガン	dialogue	first greeting shop-facing
お、お前か、今日は何の用だ？	오, 너였냐. 오늘은 무슨 일이냐?	タガン	dialogue	repeat greeting
…なんというか、だ。\nお前には随分と世話になっちまってるな…	…뭐랄까, 말이다.\n너한테는 꽤 신세를 지고 있구나…	タガン	dialogue	max affinity start
さすがにこのままだと俺も落ち着かなくてな…\n何か、俺にできることがあったら、言ってくれないか？	이대로 있자니 나도 영 마음이 놓이질 않아서 말이야…\n내가 해 줄 수 있는 게 있으면 말해 주지 않겠냐?	タガン	dialogue	max affinity start
少し二人きりになりたい	잠깐 둘이 있고 싶어	タガン	choice	max affinity
何もない	아무것도 없어	タガン	choice	max affinity
何もない？本当か？	아무것도 아니라고? 정말이냐?	タガン	dialogue	max confirm
少し二人きりになりたいって…？\nまぁ、客もこの時間は来ないし、少しなら構わないぞ？	잠깐 둘이 있고 싶다고…?\n뭐, 이 시간엔 손님도 안 오니 잠깐이면 괜찮다만?	タガン	dialogue	private time
…って、なんだ？お前、歴戦の身体を見てみたいって？\n俺はしがない商人だってのに…	…그래서, 뭐라고? 너, 산전수전 다 겪은 몸을 보고 싶다고?\n나는 그저 변변찮은 상인일 뿐인데…	タガン	scenario	private time
まぁ、お前がそれで満足なら俺は別にいいんだけどよぉ	뭐, 네가 그걸로 만족한다면 나는 딱히 상관없다만.	タガン	scenario	private time
ここ最近風呂にも入ってねぇし、さすがに臭うだろ？	요즘 목욕도 못 했으니, 아무래도 냄새가 좀 나겠지?	タガン	scenario	private time
まぁ、それが男の証だけどな！	뭐, 그게 남자의 증거란 거지만!	タガン	scenario	private time
がっはっは！	가하하하!	タガン	dialogue	laugh
好きなものについて	좋아하는 것에 대해	タガン	choice	talk menu
恥ずかしかったことについて	부끄러웠던 일에 대해	タガン	choice	talk menu
初体験について	첫 경험에 대해	タガン	choice	talk menu
話をやめる	이야기를 그만둔다	タガン	choice	talk menu
好きなものか…やっぱり金貨の輝きだな。\nあれは何度見ても飽きないぞ！がっはっは！	좋아하는 것이라… 역시 금화의 반짝임이지.\n그건 아무리 봐도 질리질 않는다! 가하하하!	タガン	scenario	likes
恥ずかしかったこと…？\n昔、仕入れと間違えて大量のガラクタを買っちまったことがあってな…\nありゃ参ったよ。	부끄러웠던 일…?\n예전에 매입인 줄 알고 잡동사니를 잔뜩 사 버린 적이 있었지…\n그땐 참 난감했어.	タガン	scenario	embarrassing story
初体験についてか…\nん？ 興味あるのか？	첫 경험에 대해서라…\n응? 관심 있냐?	タガン	scenario	adult talk
俺は１８ぐらいの時に商売女とだな…	나는 열여덟쯤에 돈 받고 상대하는 여자랑 말이지…	タガン	scenario	adult talk
まぁ、その時に若気の至りというか…	뭐, 그때는 젊은 혈기라고 해야 하나…	タガン	scenario	adult talk
力任せに突きまくったせいで\n相手潮吹きながら失神しちまってなぁ…	힘 조절도 못 하고 들이댄 탓에\n상대가 그대로 넋이 나가 쓰러져 버렸거든…	タガン	scenario	adult talk toned down
それ以来気を付けるようになったから\n今となっちゃ、良い思い出なんだが…	그 뒤로는 조심하게 됐으니\n이제 와선 좋은 추억이긴 하다만…	タガン	scenario	adult talk
性欲持て余すときには、どっかに俺の本気突きに\n耐えられる奴がいないもんかと思うときはあるな…	욕구가 남아돌 때면 어딘가에 내 진심을\n받아 줄 녀석이 없나 싶을 때도 있지…	タガン	scenario	adult talk toned down
ま、こんなこと愚痴ったってしょうがないんだけどな！	뭐, 이런 걸 푸념해 봐야 소용없지만 말이야!	タガン	scenario	adult talk
そうか、こんなことでよければまたいつでも相手してやるぞ？	그래, 이런 정도면 언제든 또 어울려 주마.	タガン	scenario	talk end
お前もつくづく、変わった奴だな……	너도 참, 어지간히 별난 녀석이구나……	タガン	scenario	affinity 200 start
俺の身体を眺めて、何の参考になるんだか	내 몸을 훑어봐서 대체 뭘 참고하겠다는 건지.	タガン	scenario	affinity 200
何度も言うようだが、俺は別にこんなの、いくらでも見せる分には抵抗ねぇんだけどよ……	몇 번이나 말하지만, 나는 이런 거 얼마든 보여 주는 데 딱히 거리낄 건 없다만……	タガン	scenario	affinity 200
そこまでまじまじと見られるとな……	그렇게 빤히 들여다보면 말이지……	タガン	scenario	affinity 200
…ま、男同士だし、気にする方が変ってやつだけどな。お前も別に気にしねぇだろ？	…뭐, 남자끼리인데 신경 쓰는 쪽이 이상한 거겠지. 너도 딱히 신경 안 쓰잖냐?	タガン	scenario	affinity 200
チンポのサイズは？	크기는?	タガン	choice	adult choice toned down
男との経験は？	남자랑 해 본 적은?	タガン	choice	adult choice
ちょっと半勃ちになってる……？	조금 반쯤 선 거 아냐……?	タガン	choice	adult choice
サイズ？ ……18……とかだったかな	크기? ……18……쯤이었나.	タガン	scenario	adult talk
あ？ デカくなった時か？ ……25……は超えたぐらいだったはずだ	아? 섰을 때 말이냐? ……25……는 넘었던 것 같은데.	タガン	scenario	adult talk
……あ？ なんで知ってるかって？	……아? 그걸 왜 아느냐고?	タガン	scenario	adult talk
まぁ、昔は女によく聞かれたからな。覚えてんだよ	뭐, 예전엔 여자들이 자주 물어봤거든. 그래서 기억한다.	タガン	scenario	adult talk
大抵、興味本位で誘っといて、いざって時に『入るわけない』なんて言われちまうのがオチだったがな（笑）	대개는 호기심에 불러 놓고, 막상 닥치면 '들어갈 리가 없잖아' 소리나 듣는 게 결말이었지만 말이다. 하하.	タガン	scenario	adult talk toned down
男だぁ？ 男同士で？ あるわけねぇだろ(笑)	남자라고? 남자끼리? 있을 리가 없잖냐. 하하.	タガン	scenario	adult talk
あぁ、でも……昔、騎士団にいた頃は水浴びの時にやたらと触ってくる奴がいたな……	아, 그래도…… 옛날 기사단에 있을 때 물가에서 씻다 보면 괜히 만지작거리던 녀석은 있었지……	タガン	scenario	adult talk
年下の奴なら蹴りの一つでも食らわせてたんだが、部隊長にやられた時は困ったぜ。上官命令は絶対ってやつだろ	어린놈이면 발길질이라도 먹였겠지만, 부대장한테 당하니 난감하더군. 상관 명령은 절대라잖아.	タガン	scenario	adult talk
払いのけるわけにもいかねぇし、触られりゃ当然勃つだろ？ 部隊長もしつこい手つきで、先端の方を掴んで擦ってきやがったからな……	뿌리칠 수도 없고, 만져지면 몸이 반응하는 건 당연하잖냐? 부대장도 끈질긴 손길로 끝쪽을 붙잡고 문질러 댔으니……	タガン	scenario	adult talk
焦った部隊長が離れてったんだが……今思えば、あれは何だったんだろうな？	당황한 부대장이 물러나긴 했는데…… 지금 생각하면 대체 뭐였을까 싶다.	タガン	scenario	adult talk
おう、言っただろ。俺は至って健康な男なんだよ	그래, 말했잖냐. 나는 지극히 건강한 남자라고.	タガン	scenario	adult talk
こうやって誰かにまじまじと見られりゃ、脳より先に身体が勝手に『準備』を始めちまうんだ。相手が男だろうが関係なくな	이렇게 누군가가 빤히 쳐다보면 머리보다 몸이 먼저 멋대로 '준비'를 시작해 버린다. 상대가 남자든 뭐든 말이야.	タガン	scenario	adult talk
お前もそうだろ？	너도 그렇잖냐?	タガン	scenario	adult talk
…ったく、早く視線を外してくれりゃ収まるんだが…	…참나, 빨리 시선만 거둬 주면 가라앉을 텐데…	タガン	scenario	adult talk
…お前が面白がって見るから、なかなか萎えてくれねぇよ。困ったもんだな	…네가 재미있다는 듯 보고 있으니 좀처럼 가라앉질 않는군. 곤란한 일이야.	タガン	scenario	adult talk
おぅ！ 満足したか？	오냐! 만족했냐?	タガン	scenario	affinity 200 end
はい	예	タガン	choice	generic
いいえ	아니요	タガン	choice	generic
ははっ、つくづくお前も変わった奴だな！	하하, 너도 참 별난 녀석이야!	タガン	scenario	affinity 200
俺の身体をまじまじと見て何が楽しいんだか、正直さっぱり理解できねぇが……。	내 몸을 빤히 보는 게 뭐가 재미있는지 솔직히 도통 모르겠다만……	タガン	scenario	affinity 200
そういう予測のつかねぇところ、俺は嫌いじゃねぇぞ	그렇게 종잡을 수 없는 점, 나는 싫지 않다.	タガン	scenario	affinity 200
気にするな。男の身体なんて見せたところで減るもんじゃねぇしな。	신경 쓰지 마라. 남자 몸이야 보여 준다고 닳는 것도 아니니까.	タガン	scenario	affinity 200
お前みたいな面白い奴の頼みなら、またいつでも付き合ってやるぜ（笑）	너처럼 재미있는 녀석의 부탁이라면 언제든 또 어울려 주마. 하하.	タガン	scenario	affinity 200 end
…あぁ、いいぜ！\nなんてったって、お前は俺の"お得意様"だからな！	…아아, 좋다!\n뭐니 뭐니 해도 너는 내 "단골손님"이니까!	タガン	dialogue	discount reward
タガンの店の商品が 10% OFF になりました！	타간의 가게 상품이 10% 할인되었습니다!	システム	system	discount reward
何もない…って言ったってよぉ…	아무것도 아니라 해도 말이다…	タガン	dialogue	max affinity route
…それじゃ、こうしようぜ！\n俺が恩を返したくなった時に一方的に世話を焼くってのは？	…그럼 이렇게 하자!\n내가 은혜를 갚고 싶어질 때 멋대로 챙겨 주는 건 어떠냐?	タガン	dialogue	max affinity route
まぁ、これはお前がなんと言おうと、俺が決めたことだけどな！\nはっはっは！	뭐, 이건 네가 뭐라 하든 내가 정한 일이지만 말이야!\n하하하!	タガン	dialogue	max affinity route
お前もすっかり顔なじみになったなぁ	너도 이제 완전히 낯익은 얼굴이 됐구나.	タガン	scenario	affinity 300 start
ん？どうした？	응? 왜 그러냐?	タガン	scenario	affinity 300
いやいや…お前、さすがにこれはなぁ…	아니 아니… 너, 아무리 그래도 이건 말이다…	タガン	scenario	affinity 300
顔に座ってほしいなんて想像すらしてなかったぞ…	얼굴 위에 앉아 달라니, 상상도 못 했다…	タガン	scenario	adult event
…ったく…お前には本当に驚かされることばかりだな…いや、今更、とやかくは言わねぇけどよ…	…참나… 너한테는 정말 놀랄 일만 생기는구나… 아니, 이제 와서 이러쿵저러쿵할 생각은 없다만…	タガン	scenario	adult event
…大丈夫か？息できんのか？	…괜찮냐? 숨은 쉴 수 있겠냐?	タガン	scenario	adult event
いい臭いです	좋은 냄새예요	タガン	choice	adult event
く、苦しい…	으, 숨 막혀…	タガン	choice	adult event
もっとお願いします	더 해 주세요	タガン	choice	adult event
良い臭いだぁ？いやいや、何の冗談だ…まったく…	좋은 냄새라고? 아니 아니, 무슨 농담이냐… 참나…	タガン	scenario	adult event
だろ？言わんこっちゃない、やめるぞ？いいな？	그렇지? 거봐라, 내가 뭐랬냐. 그만둔다? 알겠지?	タガン	scenario	adult event
やめるなって言ったってよぉ…	그만두지 말라 해도 말이다…	タガン	scenario	adult event
"もっと"だぁ？そんなことしたらお前の顔が潰れちまうぞ！？	"더"라고? 그러다 네 얼굴이 눌려 버린다!?	タガン	scenario	adult event
そりゃ、俺はお前の気が済むまで付き合ってやるけどよぉ…	뭐, 네 직성이 풀릴 때까지 어울려 주긴 하겠다만…	タガン	scenario	adult event
尻をなめる	엉덩이를 핥는다	タガン	choice	adult event
顔を動かす	얼굴을 움직인다	タガン	choice	adult event
！？！？　なっ！？おいおい！嘘だろ！？お前今舐めたのか！？	!?!? 뭐!? 어이 어이! 농담이지!? 너 방금 핥은 거냐!?	タガン	scenario	adult event
いやいや！そりゃ驚くだろ！？ふざけて驚かすにしてもこんなおっさんのケツ舐めるなんて相当肝据わってるなお前…	아니 아니! 그야 놀라지 않겠냐!? 장난으로 놀래킨다 해도 이런 아저씨 엉덩이를 핥다니, 너 배짱 하나는 대단하구나…	タガン	scenario	adult event
どうだ！？満足したか？	어떠냐!? 만족했냐?	タガン	dialogue	event end
いいや、礼なんか必要ねぇ、最近はお前のおかげで刺激のある毎日だ	아니, 고맙다는 말은 됐다. 요즘은 네 덕분에 하루하루가 제법 자극적이거든.	タガン	dialogue	event end
これからもよろしくな	앞으로도 잘 부탁한다.	タガン	dialogue	event end
いらっしゃい！\n不要なものがあれば買い取るよ！	어서 와!\n필요 없는 물건이 있으면 사 줄게!	買取屋	dialogue	buyback shop
なんだぁ？またなんかあんのか？\nお前の頼みってのは突拍子もないからな、ったく飽きないぜ	뭐냐? 또 뭔가 있는 거냐?\n네 부탁은 늘 엉뚱해서 말이지, 참 질리지가 않는다.	タガン	dialogue	affinity 400 request
ただ、今日はまだ仕事があるからな、今夜だったらいいぜ！また、後で来な！	다만 오늘은 아직 일이 남아 있어서 말이야. 오늘 밤이라면 좋다! 나중에 다시 와라!	タガン	dialogue	affinity 400 request
（その夜、タガンの小屋を訪れると、酒瓶を一本空けたタガンが、少し赤くなった顔で出迎えた）	(그날 밤, 타간의 오두막을 찾아가자 술병 하나를 비운 타간이 살짝 붉어진 얼굴로 맞아 주었다)	タガン	dialogue	affinity 400 narration
よぉ、来たな？その辺に適当に座ってもらっていいぞ	왔냐? 그 근처 아무 데나 편하게 앉아라.	タガン	dialogue	affinity 400 night
……なんだ、まぁ…お前には、本当に驚かされてばっかりだ。	……뭐랄까, 너한테는 정말 놀라기만 하는구나.	タガン	dialogue	affinity 400 night
寄付だの仕入れだの、俺の懐を潤してくれるのはありがてぇが…	기부니 매입이니, 내 주머니를 두둑하게 해 주는 건 고맙다만…	タガン	dialogue	affinity 400 night
…それ以上に、お前のあの『無茶苦茶な頼み事』の数々だ。	…그보다 더 대단한 건 네 그 '말도 안 되는 부탁'들이지.	タガン	dialogue	affinity 400 night
顔に乗れだの、ケツを舐めるだの……普通、男相手にそんなこと思いつくか？（笑）	얼굴에 앉아 달라느니, 엉덩이를 핥겠다느니…… 보통 남자 상대로 그런 생각을 하냐? 하하.	タガン	dialogue	affinity 400 night
いや、別に馬鹿にしてる訳じゃねぇんだ。	아니, 딱히 놀리는 건 아니다.	タガン	dialogue	affinity 400 night
正直に言うとな…お前の繰り出す無茶な注文は、俺にとって最高の娯楽だった。\n次はどんなイカれたことを言い出すのかなんて刺激的でよ……。	솔직히 말하면… 네가 던지는 무리한 주문들은 내게 최고의 구경거리였다.\n다음엔 또 무슨 정신 나간 말을 꺼낼지, 그게 꽤 자극적이더군……	タガン	dialogue	affinity 400 night
だがよ、不思議なもんだな。次は何を言われるのか、どこまで俺を弄ぼうとするのか……それを期待してる自分がいることに気づいちまったんだ。	그런데 말이다, 이상한 일이야. 다음엔 무슨 말을 들을지, 어디까지 나를 휘두를지…… 그걸 기대하는 내가 있다는 걸 깨닫고 말았다.	タガン	dialogue	affinity 400 night
この感覚…。冒険者時代、命懸けの依頼を楽しんでた頃の感覚に近いのかもしれねぇな。	이 감각…. 모험가 시절, 목숨 건 의뢰를 즐기던 때와 비슷한지도 모르겠군.	タガン	dialogue	affinity 400 night
でも、勘違いするなよ？ 俺は女が好きだ。	그래도 착각은 하지 마라. 나는 여자가 좋다.	タガン	dialogue	affinity 400 night
だが、お前に対してだけは、俺の全てを使って応えなきゃ、男が廃る気がするんだ。	하지만 너한테만큼은 내 전부로 받아 주지 않으면 남자로서 체면이 안 설 것 같거든.	タガン	dialogue	affinity 400 night
お前のその突拍子もない要望、俺の身体で全部受け止めてやるよ。	네 그 엉뚱한 요구, 내 몸으로 전부 받아 주마.	タガン	dialogue	affinity 400 night
「…で…だ。改めて聞くぞ？頼みってのは何だ？」	"...그래서 말이다. 다시 묻겠다. 부탁이라는 게 뭐냐?"	タガン	dialogue	affinity 400 night
タガンとエッチしたい	타간과 하고 싶어	タガン	choice	adult event
……そりゃまた…想像を遥かに超えてきたな……	……그거 참… 상상 이상으로 치고 들어오는구나……	タガン	dialogue	adult event
……念のため聞くけどよ、お前は、その…抱くとか抱かれるとか…【どっち】だ？	……혹시 모르니 묻겠다만, 너는 그… 안는 쪽이냐 안기는 쪽이냐… 【어느 쪽】이냐?	タガン	dialogue	adult event
タガンを抱きたい	타간을 안고 싶어	タガン	choice	adult event
……は？ 俺を……抱きたいだと？	……뭐? 나를…… 안고 싶다고?	タガン	dialogue	adult event
がっはっは！ お前、本当に底が知れねぇな！	가하하하! 너는 정말 바닥을 알 수 없는 녀석이구나!	タガン	dialogue	adult event
……いいだろう、乗ってやるよ。\nお前のそのイカれた熱意に免じて、今夜は俺のプライドも全部明け渡してやる。お前の手並みを見せてもらおうじゃねぇか……っ！	……좋다, 어울려 주마.\n네 그 미친 열의에 봐서, 오늘 밤은 내 자존심까지 전부 맡겨 주지. 네 솜씨 한번 보자꾸나……!	タガン	dialogue	adult event
……おい、何を突っ立ってる。この俺を『抱きたい』なんてデカい口をいったんだ。	……어이, 뭘 멀뚱히 서 있냐. 이 나를 '안고 싶다'고 큰소리친 건 너다.	タガン	scenario	adult event
……まさか、今さら怖気づいてるわけじゃねぇだろうな？	……설마 이제 와서 겁먹은 건 아니겠지?	タガン	scenario	adult event
それにしても、騎士団時代、理不尽な上官に『可愛がられた』ことはあったが……	그건 그렇고, 기사단 시절에 말도 안 되는 상관한테 '귀여움' 받은 적은 있다만……	タガン	scenario	adult event
まさか、こんな年になって、お前みたいな小僧の我儘に付き合うことになるとはな。	설마 이 나이에 너 같은 애송이의 억지를 받아 주게 될 줄이야.	タガン	scenario	adult event
……がっはっは！ 人生、何が起きるか分からねぇもんだ	……가하하하! 인생은 무슨 일이 일어날지 모르는 법이군.	タガン	scenario	adult event
いいぜ、お前のその熱、全部俺の身体で受け止めてやる。……さぁ、来い！	좋다, 네 그 열기 전부 내 몸으로 받아 주마. ……자, 와라!	タガン	scenario	adult event
……ぐ、ぅ……ッ！ ……あ、……はぁ……ッ！！	……그, 윽……! ……아, ……하아……!!	タガン	scenario	adult event
な……なかなかやるじゃねぇか……	제……제법 하잖냐……	タガン	scenario	adult event
ケツの穴にこん棒突っ込まれてるみてぇだ……こんなン初めてだぞ…	안쪽에 몽둥이가 들어온 것 같군…… 이런 건 처음이다…	タガン	scenario	adult event toned down
……顔、真っ赤だけど…？	……얼굴, 새빨간데…?	タガン	choice	adult event
無理してない？	무리하는 거 아냐?	タガン	choice	adult event
……は、がっはっは！ ……バカを言え。\nそう見えるのは……酒のせいだ、酒が……っ、思いのほか、回ってやがるんだ……	……하, 가하하하! ……바보 같은 소리 마라.\n그렇게 보이는 건…… 술 때문이다, 술이…… 생각보다 확 올라서 말이지……	タガン	scenario	adult event
……ッ！？ ……っあ……、おい、お前……ッ。……そこは、……っ！	……!? ……아…… 어이, 너……! ……거긴, ……!	タガン	scenario	adult event
……ぐ、ぅ……ッ！ ……あ、……はぁ……ッ！！ ……ッは、……今の、は……。\n……お前、……わざと、やってやがるな……っ	……그, 윽……! ……아, ……하아……!! ……하, ……방금 건…….\n……너, ……일부러 그러는 거지……	タガン	scenario	adult event
……騎士団の訓練でも、こんな……中がかき回されて…心臓が跳ねるような真似は、教わらなかったぜ……っ	……기사단 훈련에서도 이런…… 속이 뒤흔들리고… 심장이 튀는 듯한 짓은 배운 적 없다……	タガン	scenario	adult event
……あ、が……ッ！	……아, 크……!	タガン	scenario	adult event
……ッはぁ……ッ！ アッ！！ああっ！ぐああああっ！！	……하아……! 아!! 아아! 으아아아아!!	タガン	scenario	adult event
……お前の、……熱いのが、……全部、伝わって……ッ！！	……네, ……뜨거움이, ……전부 전해져……!!	タガン	scenario	adult event
あっ…！来るっ…！せり上がって……くるっ…！！	아…! 온다…! 치밀어…… 올라온다……!!	タガン	scenario	adult event
はぁっ…はぁっ…はぁっ…	하아… 하아… 하아…	タガン	scenario	adult event
……ふぅ。……ったく、お前って奴は。……予想以上に、無茶苦茶しやがって……	……후우. ……참나, 너란 녀석은. ……예상보다 훨씬 막 나가더군……	タガン	scenario	adult event after
大丈夫？	괜찮아?	タガン	choice	adult event after
……がっはっは！ この俺を誰だと思ってやがる。\n……まぁ、流石にこの年でこれだけ振り回されると、骨身に沁みるがな……。	……가하하하! 나를 누구라고 생각하는 거냐.\n……뭐, 이 나이에 이만큼 휘둘리면 뼛속까지 오긴 한다만……	タガン	scenario	adult event after
だが、悪かねぇ。お前のその、がっつくような執着……。\n金貨を数えてる時の俺より、よっぽど必死だったぜ…	하지만 나쁘진 않아. 네 그, 달려드는 듯한 집착…….\n금화를 세는 내 모습보다 훨씬 필사적이더군…	タガン	scenario	adult event after
……不思議なもんだ。男の身体なんざ、見飽きるほど見てきたはずなのによ。\nお前に触られると、どうも調子が狂うな……。	……이상한 일이야. 남자 몸 따위는 질릴 만큼 봤을 텐데 말이지.\n네가 만지면 어째 페이스가 흐트러진단 말이야……	タガン	dialogue	adult event after
……おい、こっちへ来い。……もう少し、その……。お前の顔を近くで見せておけ	……어이, 이리 와라. ……조금만 더, 그…… 네 얼굴을 가까이 보여 둬라.	タガン	dialogue	adult event after
（タガンはその大きな手で引き寄せると、乱暴に頭を撫でる）	(타간은 커다란 손으로 끌어당기더니 거칠게 머리를 쓰다듬었다)	タガン	narration	adult event after
言っておくが、俺は別に『そっち』に目覚めたわけじゃねぇぞ？\nお前が面白いから、こうして相手をしてやってるだけだ	말해 두지만, 내가 딱히 '그쪽'에 눈뜬 건 아니다.\n네가 재미있으니 이렇게 상대해 주는 것뿐이야.	タガン	dialogue	adult event after
だがよ……お前のおかげで、退屈だった商売の日々に、とんでもねぇ刺激が加わっちまった。\n……こんな面白い体験、もう手放せねぇな	하지만 말이다…… 네 덕분에 지루하던 장사판 나날에 터무니없는 자극이 끼어들었어.\n……이렇게 재미있는 경험, 이제 놓치긴 아깝군.	タガン	dialogue	adult event after
気が向いたら、またこうして俺を驚かせてみろ。その時は、もう少し高くつくからな？（笑）	내키면 또 이렇게 나를 놀라게 해 봐라. 그때는 조금 더 비싸게 받을 테니 말이야. 하하.	タガン	dialogue	adult event after
タガンとの会話	타간과의 대화	タガン	event title	gallery/event
タガンとの時間	타간과의 시간	タガン	event title	gallery/event
予想以上に無茶苦茶な夜	예상보다 더 엉망진창인 밤	タガン	event title	gallery/event
タガンの勲章	타간의 훈장	タガン	item	medal
大商人の証。獲得ゴールドが+10%される。	대상인의 증표. 획득 골드가 +10% 오른다.	タガン	item	medal description
古代の遺跡から見つかる伝説の金属。タガンへのプレゼントに使えそうだ。	고대 유적에서 발견되는 전설의 금속. 타간에게 선물할 수 있을 것 같다.	タガン	item	gift description
日常の火床に欠かせない良質な燃料。タガンへのプレゼントに使えそうだ。	일상 화덕에 꼭 필요한 양질의 연료. 타간에게 선물할 수 있을 것 같다.	タガン	item	gift description
研磨の仕上げに使う最高級の素材。タガンへのプレゼントに使えそうだ。	연마 마무리에 쓰는 최고급 소재. 타간에게 선물할 수 있을 것 같다.	タガン	item	gift description
神代の真鉄	신대의 진철	タガン	item	gift item
不純物の少ない石炭	불순물이 적은 석탄	タガン	item	gift item
琥珀の蜜蝋	호박 밀랍	タガン	item	gift item
